BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.916158,0.99627,0.00110,1.0161,-0.74,0.45,14.35,36089
2460641.916657,0.99583,0.00110,1.0158,-0.18,-0.46,14.66,37209
2460641.917156,0.99634,0.00110,1.0156,0.69,-1.18,14.60,36054
2460641.917654,0.99643,0.00110,1.0153,0.91,-1.06,14.82,34060
2460641.918153,0.99550,0.00110,1.0151,0.56,0.09,14.54,37205
2460641.918664,0.99699,0.00110,1.0148,0.01,-0.28,14.40,37554
2460641.919162,0.99757,0.00110,1.0146,-0.02,-0.16,14.39,40597
2460641.919661,0.99544,0.00110,1.0143,-0.06,-0.76,13.97,42700
2460641.920160,0.99530,0.00109,1.0141,-0.17,0.47,14.19,39651
2460641.920659,0.99706,0.00109,1.0139,-0.70,0.07,14.22,42627
2460641.921158,0.99540,0.00109,1.0137,-1.07,0.32,14.03,44644
2460641.921657,0.99652,0.00109,1.0135,0.58,-0.88,14.04,43686
2460641.922167,0.99687,0.00109,1.0133,-0.10,-1.73,14.19,42393
2460641.922666,0.99642,0.00109,1.0131,0.68,-0.96,14.05,41558
2460641.923165,0.99612,0.00109,1.0129,0.39,-0.60,13.79,47924
2460641.923664,0.99724,0.00109,1.0128,-0.21,-0.67,13.95,43581
2460641.924163,0.99619,0.00109,1.0126,0.33,-0.92,13.87,47010
2460641.924662,0.99706,0.00109,1.0125,-0.09,-1.16,14.04,44317
2460641.925160,0.99584,0.00110,1.0123,-0.01,-0.44,13.90,45820
2460641.925670,0.99508,0.00109,1.0122,0.39,0.24,14.04,44776
2460641.926169,0.99625,0.00109,1.0121,0.18,-0.77,13.99,46875
2460641.926667,0.99560,0.00109,1.0119,-0.05,-0.85,13.86,44898
2460641.927165,0.99714,0.00109,1.0118,-0.05,-0.46,14.07,48986
2460641.927664,0.99672,0.00109,1.0117,-0.61,0.23,14.08,47336
2460641.928162,0.99894,0.00109,1.0117,-0.94,-0.39,13.83,45911
2460641.928672,0.99751,0.00109,1.0116,-0.31,0.39,14.05,48780
2460641.929171,0.99759,0.00109,1.0115,-0.15,-0.26,14.05,45641
2460641.929669,0.99799,0.00109,1.0114,-0.39,0.19,14.06,43663
2460641.930168,0.99625,0.00109,1.0114,-0.27,0.76,13.71,48802
2460641.930666,0.99735,0.00109,1.0113,0.23,1.26,13.64,49400
2460641.931164,0.99600,0.00109,1.0113,0.55,0.87,14.21,43293
2460641.931674,0.99552,0.00109,1.0113,0.15,1.61,14.20,43960
2460641.932173,0.99534,0.00109,1.0112,0.27,1.79,14.26,43338
2460641.932671,0.99688,0.00109,1.0112,0.22,0.99,14.32,44900
2460641.933170,0.99662,0.00109,1.0112,0.24,1.21,13.94,48322
2460641.933668,0.99731,0.00109,1.0112,0.57,-0.24,14.18,46782
2460641.934178,0.99787,0.00109,1.0112,0.57,0.00,14.06,51982
2460641.934677,0.99657,0.00109,1.0112,0.27,-0.59,13.79,53802
2460641.935175,0.99757,0.00109,1.0113,0.81,-0.84,13.76,54650
2460641.935674,0.99661,0.00109,1.0113,0.16,-1.49,13.79,50474
2460641.936172,0.99780,0.00109,1.0113,0.42,-1.82,13.53,51878
2460641.936682,0.99945,0.00109,1.0114,0.76,-1.84,13.80,51335
2460641.937181,0.99713,0.00109,1.0114,0.64,-1.64,14.00,50302
2460641.937679,0.99652,0.00109,1.0115,-0.26,-1.45,13.75,52709
2460641.938178,0.99931,0.00109,1.0116,-0.04,-1.79,13.86,52449
2460641.938677,0.99808,0.00109,1.0117,-0.40,-1.79,13.79,53504
2460641.939187,0.99770,0.00109,1.0118,-0.28,-2.15,13.82,50404
2460641.939686,0.99789,0.00109,1.0119,-0.88,-1.47,13.76,48723
2460641.940185,0.99726,0.00109,1.0120,-0.35,-1.58,13.88,49873
2460641.940684,0.99844,0.00109,1.0121,-0.37,-0.35,14.13,44917
2460641.941183,0.99863,0.00109,1.0122,-0.70,0.07,14.13,48980
2460641.941681,0.99534,0.00109,1.0124,-0.73,0.01,13.92,50910
2460641.942180,0.99611,0.00109,1.0125,-0.42,-0.07,13.85,47759
2460641.942679,0.99792,0.00109,1.0126,-0.66,-0.36,13.82,48597
2460641.943190,0.99795,0.00109,1.0128,-0.85,-0.23,13.92,49465
2460641.943688,0.99670,0.00109,1.0130,-0.23,0.62,13.77,48293
2460641.944187,0.99954,0.00109,1.0131,-0.69,-0.98,14.31,44562
2460641.944686,0.99881,0.00109,1.0133,-0.00,-0.82,14.30,43934
2460641.945185,1.00175,0.00109,1.0135,-0.04,-0.54,14.21,46942
2460641.945684,0.99887,0.00109,1.0137,0.17,-0.60,14.04,44721
2460641.946183,0.99979,0.00109,1.0139,0.18,-0.03,14.21,43730
2460641.946681,0.99998,0.00109,1.0142,-0.61,-1.58,13.80,47427
2460641.947192,0.99739,0.00109,1.0144,0.62,0.92,14.11,48058
2460641.947714,1.00018,0.00109,1.0146,0.81,-0.05,13.91,47192
2460641.948213,1.00158,0.00109,1.0149,0.44,-0.73,13.65,49523
2460641.948712,0.99978,0.00108,1.0151,0.72,-0.09,13.64,50623
2460641.949211,1.00151,0.00109,1.0154,0.57,-0.66,14.01,48682
2460641.949710,0.99962,0.00109,1.0156,-0.04,-1.74,14.16,46425
2460641.950209,0.99868,0.00109,1.0159,0.16,0.08,13.76,48316
2460641.950707,1.00028,0.00109,1.0162,-0.33,-0.36,13.74,47975
2460641.951206,1.00189,0.00109,1.0165,-1.09,-0.04,13.77,44345
2460641.951717,1.00042,0.00108,1.0168,1.05,1.16,13.62,46787
2460641.952216,0.99956,0.00109,1.0171,0.07,0.29,14.19,41190
2460641.952714,1.00040,0.00109,1.0174,0.02,0.95,13.71,43683
2460641.953213,0.99985,0.00109,1.0177,-0.20,-0.18,14.04,40703
2460641.953712,1.00056,0.00109,1.0181,-0.88,-0.60,13.77,47430
2460641.954211,1.00178,0.00109,1.0184,0.03,0.41,14.33,43609
2460641.954721,1.00058,0.00109,1.0188,-0.53,0.16,13.37,45173
2460641.955220,0.99971,0.00109,1.0192,-0.11,0.97,13.79,45375
2460641.955719,1.00059,0.00109,1.0195,0.68,1.85,13.96,47287
2460641.956218,1.00021,0.00109,1.0199,0.08,0.96,13.61,49808
2460641.956717,1.00026,0.00109,1.0203,-0.39,0.31,13.37,49069
2460641.957216,1.00112,0.00109,1.0207,-0.53,-0.24,13.63,47181
2460641.957726,1.00221,0.00109,1.0211,-0.66,-0.41,13.51,45866
2460641.958225,1.00197,0.00109,1.0215,-0.56,0.52,13.60,46833
2460641.958724,1.00101,0.00109,1.0219,-0.01,1.11,13.66,43862
2460641.959223,0.99987,0.00109,1.0224,0.74,1.17,13.34,47327
2460641.959721,1.00063,0.00109,1.0228,-0.27,0.78,13.62,43674
2460641.960220,1.00229,0.00109,1.0232,-0.32,-0.50,13.83,43150
2460641.960730,1.00266,0.00109,1.0237,-0.68,-0.68,13.11,49300
2460641.961228,1.00138,0.00109,1.0242,-0.83,0.54,14.14,40175
2460641.961727,1.00088,0.00109,1.0246,-1.74,-0.22,13.24,43569
2460641.962225,1.00239,0.00109,1.0251,2.24,1.71,14.03,42585
2460641.962723,1.00154,0.00109,1.0256,0.20,0.36,13.40,47156
2460641.963222,1.00257,0.00109,1.0261,-0.29,-0.39,13.20,46078
2460641.963720,1.00257,0.00109,1.0266,-0.39,-1.37,13.37,44543
2460641.964219,1.00128,0.00109,1.0271,-0.33,-0.11,13.54,40148
2460641.964729,1.00219,0.00109,1.0277,-0.46,-0.03,13.92,40296
2460641.965228,1.00196,0.00109,1.0282,1.25,0.74,12.91,49284
2460641.965726,1.00198,0.00109,1.0288,0.02,0.16,12.86,53224
2460641.966225,1.00347,0.00109,1.0293,0.08,-0.21,13.57,46048
2460641.966723,1.00131,0.00109,1.0299,-1.01,-1.12,12.88,50004
2460641.967221,1.00246,0.00109,1.0305,-0.40,-0.36,13.15,47823
2460641.967731,1.00176,0.00109,1.0310,-0.16,-0.37,13.17,47827
2460641.968230,1.00172,0.00109,1.0316,1.25,0.50,13.31,47543
2460641.968728,1.00262,0.00109,1.0322,0.25,0.06,12.97,51587
2460641.969227,1.00247,0.00109,1.0328,0.09,-1.07,13.09,49779
2460641.969725,1.00198,0.00109,1.0334,-0.51,-1.40,12.96,49159
2460641.970224,1.00131,0.00109,1.0341,0.23,-0.54,13.34,42722
2460641.970734,1.00138,0.00109,1.0347,-0.72,-0.36,15.84,31695
2460641.971232,1.00174,0.00109,1.0353,1.51,0.16,14.35,34489
2460641.971731,1.00252,0.00109,1.0360,0.68,-0.55,13.87,36345
2460641.972229,1.00110,0.00109,1.0367,-0.89,-1.44,13.49,39819
2460641.972728,1.00303,0.00110,1.0373,-0.15,-0.99,13.40,41870
2460641.973238,1.00275,0.00109,1.0380,-1.58,-1.09,13.06,44538
2460641.973736,1.00162,0.00109,1.0387,1.51,0.33,14.22,33523
2460641.974235,1.00128,0.00109,1.0394,0.36,-0.75,13.13,44213
2460641.974734,1.00116,0.00109,1.0401,-0.08,-0.58,13.15,43554
2460641.975233,1.00091,0.00109,1.0409,-0.92,-1.83,13.70,39676
2460641.975732,1.00174,0.00109,1.0416,0.11,-0.41,13.60,40725
2460641.976231,1.00301,0.00109,1.0423,0.06,-0.41,14.93,29704
2460641.976730,1.00108,0.00110,1.0431,1.30,-0.03,13.37,39492
2460641.977240,1.00094,0.00109,1.0438,-0.04,-0.71,12.94,44573
2460641.977738,1.00144,0.00109,1.0446,-1.29,-1.72,13.21,42915
2460641.978237,1.00201,0.00109,1.0454,-0.85,-0.57,12.73,45367
2460641.978735,1.00074,0.00109,1.0462,-0.76,-0.74,13.20,42568
2460641.979233,1.00089,0.00109,1.0470,1.43,0.26,13.02,45487
2460641.979732,1.00059,0.00109,1.0478,0.49,-0.49,13.34,44225
2460641.980242,1.00252,0.00109,1.0486,-0.26,-1.21,12.82,49437
2460641.980740,1.00178,0.00109,1.0494,-0.33,-0.93,12.87,49459
2460641.981274,1.00181,0.00109,1.0503,-0.66,-0.37,13.87,37790
2460641.981772,1.00304,0.00109,1.0512,2.10,0.08,13.73,40047
2460641.982271,1.00095,0.00109,1.0520,0.18,-0.05,13.00,46232
2460641.982781,1.00107,0.00109,1.0529,0.12,-0.65,13.24,44841
2460641.983279,1.00083,0.00109,1.0538,-0.68,-1.36,13.04,45651
