BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.949256,1.00071,0.00159,1.0154,0.04,-1.31,14.13,41540
2460641.949899,0.99891,0.00159,1.0157,0.30,-1.29,13.70,41501
2460641.950542,1.00206,0.00159,1.0161,-0.03,-0.43,13.75,39753
2460641.951178,0.99922,0.00159,1.0165,-0.77,-0.42,13.95,39742
2460641.951814,0.99905,0.00159,1.0169,1.15,0.92,13.96,40564
2460641.952458,1.00177,0.00159,1.0173,-0.16,0.23,13.99,39000
2460641.953094,1.00340,0.00159,1.0177,-0.30,-0.10,14.02,36626
2460641.953730,1.00259,0.00159,1.0181,-0.69,-0.86,13.70,42366
2460641.954373,1.00337,0.00159,1.0186,0.13,0.31,13.83,39648
2460641.955009,1.00023,0.00159,1.0190,-0.53,0.08,13.62,41740
2460641.955653,1.00090,0.00159,1.0195,0.70,1.14,14.01,42154
2460641.956339,1.00056,0.00159,1.0200,-0.13,0.62,13.45,44204
2460641.956974,0.99994,0.00159,1.0205,-0.39,-0.22,13.50,41609
2460641.957616,1.00161,0.00159,1.0210,-0.57,-0.55,13.48,40872
2460641.958252,0.99960,0.00159,1.0215,-0.54,0.10,13.36,40379
2460641.958894,1.00039,0.00159,1.0221,0.73,1.11,13.69,37926
2460641.959530,1.00124,0.00159,1.0226,0.42,0.69,13.52,39165
2460641.960172,1.00039,0.00159,1.0232,-0.30,-0.50,13.97,38728
2460641.960808,1.00200,0.00159,1.0238,-0.54,-0.47,13.51,41679
2460641.961450,1.00180,0.00159,1.0244,-1.11,-0.30,13.87,38470
2460641.962085,1.00429,0.00159,1.0250,1.12,1.35,14.79,33337
2460641.962727,0.99888,0.00159,1.0256,0.33,-0.17,13.42,41934
2460641.963370,1.00326,0.00159,1.0263,-0.55,-0.80,13.36,39919
2460641.964005,1.00107,0.00159,1.0269,-0.20,-1.04,13.42,39025
2460641.964648,0.99960,0.00159,1.0276,-0.65,0.02,13.59,38414
2460641.965282,1.00158,0.00159,1.0283,0.87,0.42,13.41,42618
2460641.965925,0.99985,0.00159,1.0290,0.61,-0.07,12.84,44605
2460641.966561,1.00327,0.00160,1.0297,-1.08,-1.41,13.00,42611
2460641.967204,0.99912,0.00158,1.0304,-0.18,-0.49,13.20,42166
2460641.967839,0.99883,0.00159,1.0312,-0.10,-0.22,13.35,42054
2460641.968481,1.00080,0.00159,1.0319,0.18,-0.11,13.31,42433
2460641.969117,1.00260,0.00159,1.0327,0.48,-0.81,13.17,45611
2460641.969758,1.00025,0.00159,1.0335,-0.79,-1.24,13.10,43316
2460641.970400,1.00095,0.00160,1.0343,-1.46,-0.53,14.45,31534
2460641.971035,1.00063,0.00159,1.0351,1.68,0.29,13.87,34326
2460641.971677,1.00258,0.00160,1.0359,0.32,-0.44,13.87,33377
2460641.972312,1.00198,0.00160,1.0368,-1.04,-1.78,13.53,36022
2460641.972954,1.00217,0.00159,1.0377,-0.92,-0.76,13.52,37269
2460641.973595,1.00191,0.00160,1.0385,-0.29,-0.13,14.87,31488
2460641.974230,1.00132,0.00159,1.0394,0.65,-0.54,13.44,37047
2460641.974872,1.00140,0.00159,1.0404,-0.97,-1.66,13.56,37885
2460641.975506,1.00005,0.00160,1.0413,-0.40,-0.71,13.65,34526
2460641.976149,1.00142,0.00160,1.0422,-0.36,-0.45,14.76,29220
2460641.976784,1.00200,0.00160,1.0432,1.08,-0.15,13.49,36399
2460641.977426,1.00041,0.00160,1.0441,-0.33,-1.26,13.69,35689
2460641.978068,1.00288,0.00160,1.0451,-0.78,-1.10,13.10,38694
